study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
3.6,59.3,54.4,5,6.1,Yes,64.9
7.7,77.1,53.6,3,8.2,No,73.7
6.1,93.6,89.8,7,9.0,Yes,100.0
5.2,86.6,53.7,10,5.1,No,88.5
2.1,90.3,55.0,9,8.6,Yes,82.3
2.1,82.9,81.8,8,7.5,No,83.1
1.4,84.6,64.7,10,8.9,No,76.3
7.1,92.5,82.7,9,6.9,Yes,100.0
5.2,62.5,43.6,5,8.4,No,74.4
6.0,74.5,66.8,4,5.2,Yes,78.6
1.1,61.1,41.8,10,6.3,Yes,72.7
7.8,99.4,43.4,9,5.3,Yes,98.5
6.8,97.2,89.9,5,8.9,No,100.0
2.5,52.0,47.7,5,8.3,No,56.6
2.3,85.3,69.3,4,8.4,Yes,75.9
2.3,96.3,62.6,6,8.8,Yes,79.2
3.1,59.0,59.1,10,5.3,No,76.4
4.7,78.4,89.5,10,6.5,No,95.4
4.0,95.8,41.2,6,5.3,No,67.7
3.0,51.7,76.5,3,5.8,Yes,77.4
5.3,84.9,93.0,3,5.9,Yes,91.6
2.0,64.9,70.8,6,6.9,Yes,75.2
3.0,96.2,91.5,8,6.1,Yes,89.2
3.6,98.6,42.9,7,5.4,Yes,77.5
4.2,97.2,63.0,5,5.7,No,80.8
6.5,73.7,54.3,7,5.6,Yes,75.9
2.4,93.1,80.2,5,8.9,No,91.9
4.6,92.2,94.0,6,8.0,No,100.0
5.1,66.0,54.1,3,8.9,Yes,74.7
1.3,91.4,76.0,8,6.8,No,71.3
5.3,51.9,50.9,3,6.1,Yes,70.4
2.2,79.8,71.1,7,8.2,No,76.9
1.5,61.5,65.5,3,6.3,Yes,63.0
7.6,56.0,93.5,6,6.2,Yes,99.4
7.8,53.8,73.5,8,5.9,No,93.8
6.7,84.8,59.2,7,5.5,Yes,97.7
3.1,67.0,46.3,8,6.0,No,69.2
1.7,86.2,48.3,10,6.4,Yes,67.6
5.8,53.3,52.4,5,7.7,Yes,83.7
4.1,65.8,53.8,3,5.3,Yes,75.3
1.9,77.0,86.8,8,5.8,No,93.7
4.5,89.5,70.9,4,8.2,No,77.9
1.2,65.9,68.8,10,5.6,Yes,73.0
7.4,81.3,46.3,3,6.4,No,69.8
2.8,94.3,87.3,5,8.5,Yes,91.3
5.6,80.8,79.8,8,5.6,No,88.2
3.2,61.6,43.7,7,5.3,No,71.6
4.6,51.2,78.9,5,6.9,Yes,75.8
4.8,93.5,69.9,4,6.2,Yes,76.9
2.3,51.1,44.5,8,7.3,Yes,61.1
7.8,93.7,65.2,9,8.2,Yes,96.4
6.4,76.4,66.7,9,5.5,Yes,96.6
7.6,97.0,49.1,6,7.3,No,81.5
7.3,89.9,92.0,3,7.0,No,99.0
5.2,99.9,86.7,7,5.6,Yes,87.6
7.5,67.5,76.8,6,7.5,Yes,95.4
1.6,88.4,65.4,8,6.1,Yes,83.8
2.4,70.1,62.6,9,7.0,No,74.8
1.3,74.0,75.8,9,5.3,Yes,70.4
3.3,81.4,70.0,9,6.8,Yes,84.6
3.7,93.7,43.4,8,6.2,No,74.8
2.9,99.2,68.2,9,8.3,No,88.6
6.8,88.4,84.4,5,5.2,No,87.3
3.5,70.9,65.3,10,6.7,No,82.6
3.0,71.1,42.9,8,6.8,Yes,56.5
4.8,86.9,83.2,7,7.9,No,89.2
2.0,61.9,51.1,10,7.3,No,64.9
6.6,55.5,54.2,6,7.7,Yes,86.0
1.5,67.7,49.1,7,8.1,Yes,65.9
7.9,64.4,58.2,10,8.4,Yes,91.6
6.4,64.8,81.6,4,6.3,No,80.9
2.4,61.7,68.6,9,7.2,Yes,77.3
1.0,52.1,51.3,4,8.4,No,53.2
6.7,50.9,88.3,3,9.0,No,85.5
5.9,99.4,88.4,3,8.6,No,94.4
6.1,71.4,87.9,10,6.5,Yes,100.0
6.4,69.2,53.1,4,5.8,No,73.6
1.5,84.0,64.8,8,7.0,Yes,74.7
3.5,60.9,94.2,7,8.0,Yes,98.5
1.8,97.5,82.5,4,7.0,Yes,72.8
7.0,89.3,41.5,3,6.9,No,70.4
5.4,54.5,43.6,4,8.4,No,73.0
3.3,70.9,65.5,8,6.4,No,72.1
1.4,94.0,90.0,4,8.4,Yes,80.6
3.2,97.2,69.6,7,6.6,No,78.0
3.3,73.4,67.4,6,6.3,No,72.3
6.1,80.7,45.8,8,6.8,No,90.8
5.5,58.4,76.1,3,8.0,No,83.7
7.2,99.6,85.2,7,5.5,No,100.0
4.3,61.6,60.9,4,5.8,Yes,64.5
1.8,97.1,82.7,4,8.8,Yes,76.9
6.0,82.5,93.0,6,5.7,Yes,83.5
6.3,80.4,51.2,3,7.3,Yes,77.6
4.9,75.6,68.8,3,7.3,No,82.8
6.4,61.5,55.8,5,7.0,Yes,84.1
4.5,58.8,83.6,3,7.6,No,76.8
4.7,61.0,71.8,6,5.9,Yes,79.9
4.0,59.3,74.9,9,7.2,Yes,80.9
1.2,89.0,83.9,5,6.5,Yes,77.7
1.8,67.5,61.8,5,7.6,No,68.4
1.2,52.9,90.3,4,5.6,No,56.0
5.5,98.5,69.3,4,7.3,Yes,92.3
3.2,94.2,48.7,3,5.7,No,71.1
4.6,96.4,78.3,5,6.1,Yes,87.5
7.4,99.7,83.6,10,5.9,Yes,100.0
2.7,58.7,57.4,4,5.7,Yes,77.2
3.9,69.8,87.1,6,8.3,No,84.5
6.3,87.9,89.8,10,6.1,Yes,100.0
2.6,84.8,55.2,4,8.7,Yes,69.3
1.5,57.7,94.1,8,8.9,Yes,82.6
3.0,90.8,47.7,8,7.3,No,76.6
2.1,61.2,51.1,4,5.6,Yes,60.0
7.5,61.2,50.1,5,6.5,No,75.0
6.7,76.8,89.2,9,8.2,Yes,100.0
5.4,79.6,76.0,9,6.5,No,98.7
7.1,79.0,48.4,5,5.3,Yes,85.8
6.6,54.6,64.2,7,7.2,Yes,91.6
2.3,93.9,73.8,9,8.4,No,83.4
7.2,63.3,44.6,8,8.2,No,88.3
4.8,56.5,88.5,6,5.7,Yes,86.2
6.7,94.4,84.2,5,7.7,No,94.2
7.3,97.8,67.8,3,5.9,Yes,95.3
3.2,93.1,93.2,8,5.9,Yes,87.6
1.8,90.5,63.0,6,8.5,Yes,73.5
2.6,82.8,94.1,6,6.0,No,83.0
4.0,77.5,76.7,5,6.1,Yes,83.4
6.7,54.3,74.9,6,5.0,No,77.1
7.0,70.4,49.1,5,8.5,Yes,91.3
1.0,68.6,88.5,9,8.2,No,80.8
4.6,63.0,63.5,4,7.5,No,70.1
3.9,86.2,48.9,8,8.0,Yes,73.6
2.6,74.8,40.7,7,5.6,No,61.5
1.8,54.1,70.8,4,6.8,Yes,62.5
3.4,61.0,69.0,8,6.4,Yes,78.2
7.6,84.2,79.6,5,5.4,Yes,96.1
3.3,53.8,89.0,8,6.9,Yes,73.1
4.6,92.6,44.4,9,8.7,Yes,84.7
5.9,74.8,80.2,5,5.2,No,84.1
